artistName,Genre,showDate,venue name,venue city,venue state,attendance
Alanis Morissette (MH),Rock,6/23/2024,Bridgestone Arena,Nashville,TN,12500
Alanis Morissette (MH),Rock,6/26/2024,PNC Music Pavilion,Charlotte,NC,15000
Joan Jett (MH),Rock,6/27/2024,Coastal Credit Union Music Park at Walnut Creek,Raleigh,NC,19000
Joan Jett (MH),Rock,6/29/2024,Merriweather Post Pavilion,Columbia,MD,21500
Oliver Anthony (MH),Country,6/22/2024,Stage AE,Pittsburgh,PA,11000
Stardew Valley,Hip-Hop,6/15/2024,Paramount Theater,Austin,TX,1150
Yellowcard (MH),Pop Punk,6/26/2024,Red Rocks Amphitheatre,Morrison,CO,7500
Air Supply,Pop,7/1/2024,Sandy City Ampitheater,Sandy,UT,2006
Air Supply,Pop,7/1/2024,Sandy City Ampitheater,Sandy,UT,2006
Air Supply,Pop,7/1/2024,Sandy City Ampitheater,Sandy,UT,2006
Air Supply,Pop,7/1/2024,Sandy City Ampitheater,Sandy,UT,2006
Air Supply,Pop,7/1/2024,Sandy City Ampitheater,Sandy,UT,2006
Air Supply,Pop,7/1/2024,Sandy City Ampitheater,Sandy,UT,2006
Air Supply,Pop,7/1/2024,Sandy City Ampitheater,Sandy,UT,2006
Air Supply,Pop,7/1/2024,Sandy City Ampitheater,Sandy,UT,2006
Air Supply,Pop,7/1/2024,Sandy City Ampitheater,Sandy,UT,2006
Air Supply,Pop,7/1/2024,Sandy City Ampitheater,Sandy,UT,2006
,,,,,,
